group_id,pair_index,pair_seed,world_order,world_name,exp_name,exp_id,seed,status,return_code,qc_config_match,config_fingerprint,run_meta_path,agent_count,stage_mode,stage_days,stage_count,decision_interval_minutes,decision_intervals_per_day,total_days,opportunities_per_agent,opportunities_total,started_at,finished_at,command
20260322_010128,0,101,0,baseline_low_friction,digital_friction_parallel_20260322_010128_p000_baseline_low_friction_20260322_010128,8b31b799-6bcd-4b56-98ec-60ee8119ac91,101,ok,0,1,44a1436236d5253a,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260322_010128_p000_w00.json,10,full,2,3,15,96,6,576,5760,2026-03-22T01:01:28,2026-03-22T03:24:04,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
20260322_010128,0,101,1,high_friction_low_assist,digital_friction_parallel_20260322_010128_p000_high_friction_low_assist_20260322_032404,eff00f99-9312-4c7f-8ba6-5101dae2a534,101,ok,0,1,44a1436236d5253a,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260322_010128_p000_w01.json,10,full,2,3,15,96,6,576,5760,2026-03-22T03:24:04,2026-03-22T05:36:39,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
20260322_010128,0,101,2,high_friction_high_assist,digital_friction_parallel_20260322_010128_p000_high_friction_high_assist_20260322_053639,736cd321-63c3-465c-9398-77bbff19d340,101,ok,0,1,44a1436236d5253a,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260322_010128_p000_w02.json,10,full,2,3,15,96,6,576,5760,2026-03-22T05:36:39,2026-03-22T07:49:06,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
20260322_010128,0,101,3,low_friction_high_assist,digital_friction_parallel_20260322_010128_p000_low_friction_high_assist_20260322_074906,af40a408-ce76-4690-a655-27b2a931f77d,101,ok,0,1,44a1436236d5253a,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260322_010128_p000_w03.json,10,full,2,3,15,96,6,576,5760,2026-03-22T07:49:06,2026-03-22T10:00:09,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
