agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 3}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 7}",stage=steady; events=7; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 3}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 8}",stage=steady; events=8; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,2,21601.0,221601,steady,0,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 2}","{""success_experience"": 3}","{""event_emitted_without_reason_tag"": 8}",stage=steady; events=8; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
