group_id,pair_seed,pair_index,baseline_world,compare_world,contrast_key,direction_profile,config_fingerprint,exp_id_baseline,exp_id_compare,attempt_rate_baseline,attempt_rate_compare,attempt_rate_diff,neg_share_baseline,neg_share_compare,neg_share_diff,emit_given_attempt_baseline,emit_given_attempt_compare,emit_given_attempt_diff,helplessness_delta_baseline,helplessness_delta_compare,helplessness_delta_diff,trust_delta_baseline,trust_delta_compare,trust_delta_diff,avoidance_delta_baseline,avoidance_delta_compare,avoidance_delta_diff
exp_20260416_allhybrid1,101,0,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,5bbecce286fc88e7,e875c377-6e80-4ef0-a7ac-d2db742b89ac,d7d29623-b663-4b65-af11-c28c4469f046,0.70632,0.366279,-0.340041,0.468421,0.880952,0.412531,1.0,1.0,0.0,21.028461,46.878023,25.849562,-27.0,-50.175,-23.175,29.05,46.375,17.325
exp_20260416_allhybrid1,101,0,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,5bbecce286fc88e7,e875c377-6e80-4ef0-a7ac-d2db742b89ac,a5a2ccac-816a-4392-806e-f33c98c2cbb6,0.70632,0.665455,-0.040865,0.468421,0.568306,0.099885,1.0,1.0,0.0,21.028461,29.011206,7.982745,-27.0,-36.075,-9.075,29.05,38.075,9.025
exp_20260416_allhybrid1,101,0,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,5bbecce286fc88e7,e875c377-6e80-4ef0-a7ac-d2db742b89ac,d2ebade5-f1ec-44f6-bac3-e7676015edbe,0.70632,0.799197,0.092877,0.468421,0.291457,-0.176964,1.0,1.0,0.0,21.028461,2.955555,-18.072906,-27.0,9.475,36.475,29.05,3.05,-26.0
exp_20260416_allhybrid1,201,1,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,5bbecce286fc88e7,64dc4f1e-1adf-49ce-a593-46dca32b3341,c3537503-5217-4f05-9bd5-e6f9dea7300f,0.735849,0.419753,-0.316096,0.476923,0.911765,0.434842,1.0,1.0,0.0,18.168054,48.080877,29.912823,-24.75,-53.025,-28.275,33.5,49.125,15.625
exp_20260416_allhybrid1,201,1,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,5bbecce286fc88e7,64dc4f1e-1adf-49ce-a593-46dca32b3341,95d0fecf-0b4f-4a3a-bd7c-55d45c2351c7,0.735849,0.607018,-0.128831,0.476923,0.583815,0.106892,1.0,1.0,0.0,18.168054,31.558819,13.390765,-24.75,-32.75,-8.0,33.5,39.325,5.825
exp_20260416_allhybrid1,201,1,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,5bbecce286fc88e7,64dc4f1e-1adf-49ce-a593-46dca32b3341,79631a87-a4da-4178-9b6a-977b3a14abb6,0.735849,0.845188,0.109339,0.476923,0.326733,-0.15019,1.0,1.0,0.0,18.168054,2.811046,-15.357008,-24.75,-1.025,23.725,33.5,6.3,-27.2
exp_20260416_allhybrid1,301,2,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,5bbecce286fc88e7,81a7ab95-4d6a-477c-a25e-5bfd9f4d3380,79f80c50-a8e5-4e15-8c62-c95be347216a,0.729008,0.411043,-0.317965,0.434555,0.873134,0.438579,1.0,1.0,0.0,18.099132,45.393991,27.294859,-21.55,-49.275,-27.725,27.325,47.525,20.2
exp_20260416_allhybrid1,301,2,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,5bbecce286fc88e7,81a7ab95-4d6a-477c-a25e-5bfd9f4d3380,3aa7b158-854d-4e24-9855-3338627d9d48,0.729008,0.720149,-0.008859,0.434555,0.580311,0.145756,1.0,1.0,0.0,18.099132,26.939148,8.840016,-21.55,-31.35,-9.8,27.325,37.05,9.725
exp_20260416_allhybrid1,301,2,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,5bbecce286fc88e7,81a7ab95-4d6a-477c-a25e-5bfd9f4d3380,c1635ec6-dfca-4efc-a459-4a076cc2c348,0.729008,0.818548,0.08954,0.434555,0.285714,-0.148841,1.0,1.0,0.0,18.099132,-0.333901,-18.433033,-21.55,9.675,31.225,27.325,-1.85,-29.175
