group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,stage_index,stage_name,agent_count,task_count,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,day,t,step
stage6_single_1day_logical_clock_tolerance_smoke_20260408,0,101,0,baseline_low_friction,d4934c4f-43af-4201-befa-ffb308c9e233,ok,0,steady,10,39,0.769231,0.538462,0.333333,0.128205,0.230769,0.911936,1,21601.0,121601
stage6_single_1day_logical_clock_tolerance_smoke_20260408,0,101,1,high_friction_low_assist,37ebe291-5915-429a-86f8-8bda5329741b,ok,0,steady,10,42,0.547619,0.095238,0.214286,0.166667,0.452381,9.591172,1,21601.0,121601
stage6_single_1day_logical_clock_tolerance_smoke_20260408,0,101,2,high_friction_high_assist,fe795c57-310f-4136-995a-f8691462aa10,ok,0,steady,10,38,0.710526,0.368421,0.342105,0.026316,0.342105,4.413668,1,21601.0,121601
stage6_single_1day_logical_clock_tolerance_smoke_20260408,0,101,3,low_friction_high_assist,40cfa261-18ff-4995-8c92-8a679bbf5596,ok,0,steady,10,35,0.828571,0.571429,0.485714,0.085714,0.257143,0.841445,1,21601.0,121601
