agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
1,1,21601.0,121601,steady,0,"[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_success"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""recent_success"": 1, ""digital_status_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_step_success_supports_positive"": 1, ""high_friction_with_low_buffer"": 1}","stage=steady; events=2; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=recent_success,digital_status_signal,match_llm_primary; top_positive=recent_success,digital_action_signal,digital_status_signal"
2,1,21601.0,121601,steady,0,"[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""recent_success"": 2, ""digital_status_signal"": 2, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2}","{""recent_success"": 3, ""digital_status_signal"": 3, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2, ""match_rule_fallback"": 1, ""scenario_ride_hailing"": 1, ""llm_match_low_confidence"": 1}","{""recent_step_success_supports_positive"": 3, ""high_friction_with_low_buffer"": 2}","stage=steady; events=5; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=recent_success,digital_status_signal,match_llm_primary; top_positive=recent_success,digital_status_signal,match_llm_primary"
3,1,21601.0,121601,steady,0,[],"[""recent_success"", ""digital_status_signal"", ""digital_action_signal""]","[""recent_step_success_supports_positive""]",{},"{""recent_success"": 3, ""digital_action_signal"": 2, ""digital_status_signal"": 3, ""digital_intention_signal"": 2, ""match_llm_primary"": 2, ""scenario_digital_general"": 2, ""llm_match_high_confidence"": 2, ""match_rule_fallback"": 1, ""scenario_payment_transfer"": 1}","{""recent_step_success_supports_positive"": 3}","stage=steady; events=3; top_primary=recent_step_success_supports_positive; top_negative=none; top_positive=recent_success,digital_status_signal,digital_action_signal"
4,1,21601.0,121601,steady,0,"[""recent_failure"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""step_failure_under_friction""]","{""recent_failure"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_social_contact_coordination"": 1, ""llm_match_high_confidence"": 1}","{""recent_success"": 3, ""digital_status_signal"": 3, ""match_llm_primary"": 3, ""scenario_account_auth_security"": 1, ""llm_match_high_confidence"": 3, ""scenario_digital_general"": 2}","{""recent_step_success_supports_positive"": 3, ""step_failure_under_friction"": 1}","stage=steady; events=4; top_primary=recent_step_success_supports_positive,step_failure_under_friction; top_negative=recent_failure,digital_action_signal,digital_status_signal; top_positive=recent_success,digital_status_signal,match_llm_primary"
5,1,21601.0,121601,steady,0,"[""recent_success"", ""digital_action_signal"", ""digital_status_signal""]","[""recent_success"", ""digital_status_signal"", ""match_llm_primary""]","[""recent_step_success_supports_positive"", ""high_friction_with_low_buffer""]","{""recent_success"": 1, ""digital_action_signal"": 1, ""digital_status_signal"": 1, ""digital_intention_signal"": 1, ""match_llm_primary"": 1, ""scenario_digital_general"": 1, ""llm_match_high_confidence"": 1}","{""recent_success"": 3, ""digital_status_signal"": 3, ""match_llm_primary"": 3, ""scenario_digital_general"": 3, ""llm_match_high_confidence"": 3}","{""recent_step_success_supports_positive"": 3, ""high_friction_with_low_buffer"": 1}","stage=steady; events=4; top_primary=recent_step_success_supports_positive,high_friction_with_low_buffer; top_negative=recent_success,digital_action_signal,digital_status_signal; top_positive=recent_success,digital_status_signal,match_llm_primary"
6,1,21601.0,121601,steady,0,[],[],"[""no_emitted_events""]",{},{},"{""no_emitted_events"": 1}",stage=steady; events=0; top_primary=no_emitted_events; top_negative=none; top_positive=none
