group_id,pair_index,pair_seed,world_order,world_name,exp_id,status,stage_index,stage_name,agent_count,task_count,attempt_rate,success_rate,help_seek_rate,abandon_rate,negative_feedback_rate,helplessness_delta,day,t,step
stage6_single_2day_20260407_smoke_cleanup,0,101,0,baseline_low_friction,1c356a9e-1e4d-4a6e-b755-d94cedaa9c04,ok,0,steady,10,480,0.5625,0.275,0.389583,0.085417,0.2875,55.308989,1,21601.0,121601
stage6_single_2day_20260407_smoke_cleanup,0,101,1,high_friction_low_assist,9e865f74-383f-4937-b4c6-839510c6ec19,ok,0,steady,10,480,0.35,0.0375,0.214583,0.122917,0.3125,61.275,1,21601.0,121601
stage6_single_2day_20260407_smoke_cleanup,0,101,2,high_friction_high_assist,3fc637cf-b8e9-4458-b213-fa2d3ba87118,ok,0,steady,10,480,0.56875,0.160417,0.385417,0.120833,0.408333,61.17,1,21601.0,121601
stage6_single_2day_20260407_smoke_cleanup,0,101,3,low_friction_high_assist,0c9e46d7-c7b4-497a-8411-6d84297d41d1,ok,0,steady,10,480,0.83125,0.6125,0.45,0.035417,0.21875,0.244039,1,21601.0,121601
