group_id,pair_seed,pair_index,baseline_world,compare_world,contrast_key,direction_profile,config_fingerprint,exp_id_baseline,exp_id_compare,attempt_rate_baseline,attempt_rate_compare,attempt_rate_diff,neg_share_baseline,neg_share_compare,neg_share_diff,emit_given_attempt_baseline,emit_given_attempt_compare,emit_given_attempt_diff,helplessness_delta_baseline,helplessness_delta_compare,helplessness_delta_diff,trust_delta_baseline,trust_delta_compare,trust_delta_diff,avoidance_delta_baseline,avoidance_delta_compare,avoidance_delta_diff
exp_20260507_stream_memory_10d_60min,101,0,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,d0f37b5940c95a04,4ec5957c-7aa2-47eb-a72c-065f37c53153,88ef685b-a592-4655-bbaf-127646b47169,0.69509,0.376842,-0.318248,0.490706,0.871508,0.380802,1.0,1.0,0.0,28.944271,54.532271,25.588,-40.2,-55.575,-15.375,41.225,50.975,9.75
exp_20260507_stream_memory_10d_60min,101,0,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,d0f37b5940c95a04,4ec5957c-7aa2-47eb-a72c-065f37c53153,57e188d7-2a08-406f-a578-02990de997af,0.69509,0.587007,-0.108083,0.490706,0.683794,0.193088,1.0,1.0,0.0,28.944271,50.857785,21.913514,-40.2,-63.475,-23.275,41.225,56.575,15.35
exp_20260507_stream_memory_10d_60min,101,0,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,d0f37b5940c95a04,4ec5957c-7aa2-47eb-a72c-065f37c53153,91594e96-efe6-4040-b73a-dc3618168660,0.69509,0.796143,0.101053,0.490706,0.273356,-0.21735,1.0,1.0,0.0,28.944271,-1.966128,-30.910399,-40.2,15.2,55.4,41.225,-2.575,-43.8
exp_20260507_stream_memory_10d_60min,201,1,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,d0f37b5940c95a04,2155fd45-9f14-428e-bf9c-5a0567ab9d8b,a949e4ba-3492-49ec-b59a-bc20110fdb23,0.721785,0.40592,-0.315865,0.392727,0.848958,0.456231,1.0,1.0,0.0,19.380436,53.39118,34.010744,-13.575,-55.175,-41.6,27.325,49.275,21.95
exp_20260507_stream_memory_10d_60min,201,1,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,d0f37b5940c95a04,2155fd45-9f14-428e-bf9c-5a0567ab9d8b,297178b1-f52b-4e11-9017-7a92a6d21980,0.721785,0.605459,-0.116326,0.392727,0.618852,0.226125,1.0,1.0,0.0,19.380436,35.760062,16.379626,-13.575,-35.725,-22.15,27.325,41.75,14.425
exp_20260507_stream_memory_10d_60min,201,1,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,d0f37b5940c95a04,2155fd45-9f14-428e-bf9c-5a0567ab9d8b,7c4a4f21-b944-42c8-b0d0-fdad7f700fc3,0.721785,0.866469,0.144684,0.392727,0.229452,-0.163275,1.0,1.0,0.0,19.380436,-10.68082,-30.061256,-13.575,15.175,28.75,27.325,-12.925,-40.25
exp_20260507_stream_memory_10d_60min,301,2,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,d0f37b5940c95a04,1ac15c09-bad6-495d-aae4-a5cff96ef678,33b569a1-6c15-4bf9-b790-877d87036b9c,0.694087,0.343496,-0.350591,0.466667,0.87574,0.409073,1.0,1.0,0.0,27.327665,53.971174,26.643509,-30.175,-54.125,-23.95,39.925,50.225,10.3
exp_20260507_stream_memory_10d_60min,301,2,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,d0f37b5940c95a04,1ac15c09-bad6-495d-aae4-a5cff96ef678,4a61d0f5-82dc-4107-a125-d8d2264144d5,0.694087,0.594724,-0.099363,0.466667,0.649194,0.182527,1.0,1.0,0.0,27.327665,42.585525,15.25786,-30.175,-48.475,-18.3,39.925,47.45,7.525
exp_20260507_stream_memory_10d_60min,301,2,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,d0f37b5940c95a04,1ac15c09-bad6-495d-aae4-a5cff96ef678,958e855e-89b3-4647-8e1d-752ab2c664d0,0.694087,0.795455,0.101368,0.466667,0.257143,-0.209524,1.0,1.0,0.0,27.327665,-0.182233,-27.509898,-30.175,7.925,38.1,39.925,3.325,-36.6
