agent_id,day,t,step,stage_name,stage_index,top_negative_tags,top_positive_tags,top_primary_reasons,negative_tag_counts_json,positive_tag_counts_json,primary_reason_counts_json,summary_text
8,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 31}","{""success_experience"": 2}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 22}","{""success_experience"": 7}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,4,21601.0,421601,shock,1,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 29}","{""success_experience"": 6}","{""event_emitted_without_reason_tag"": 192}",stage=shock; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
1,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 37}","{""success_experience"": 114}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
2,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 38}","{""success_experience"": 123}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
3,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 32}","{""success_experience"": 122}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
4,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 40}","{""success_experience"": 132}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
5,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 40}","{""success_experience"": 112}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
6,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 43}","{""success_experience"": 65}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
7,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 51}","{""success_experience"": 112}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
8,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 33}","{""success_experience"": 147}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
9,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 37}","{""success_experience"": 54}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
10,6,21601.0,621601,recovery,2,"[""negative_feedback""]","[""success_experience""]","[""event_emitted_without_reason_tag""]","{""negative_feedback"": 47}","{""success_experience"": 91}","{""event_emitted_without_reason_tag"": 192}",stage=recovery; events=192; top_primary=event_emitted_without_reason_tag; top_negative=negative_feedback; top_positive=success_experience
