group_id,pair_seed,pair_index,baseline_world,compare_world,contrast_key,direction_profile,config_fingerprint,exp_id_baseline,exp_id_compare,attempt_rate_baseline,attempt_rate_compare,attempt_rate_diff,neg_share_baseline,neg_share_compare,neg_share_diff,emit_given_attempt_baseline,emit_given_attempt_compare,emit_given_attempt_diff,helplessness_delta_baseline,helplessness_delta_compare,helplessness_delta_diff,trust_delta_baseline,trust_delta_compare,trust_delta_diff,avoidance_delta_baseline,avoidance_delta_compare,avoidance_delta_diff
exp_20260415_allhybrid1,101,0,baseline_low_friction,high_friction_low_assist,high_friction_low_assist__vs__baseline_low_friction,worse_than_baseline,5bbecce286fc88e7,bda352b4-e1ea-4a40-8d5e-a569baa1f92b,b9de91db-0268-48bd-915d-939d84574796,0.70632,0.363372,-0.342948,0.468421,0.88,0.411579,1.0,1.0,0.0,20.87875,46.575494,25.696744,-27.3,-50.175,-22.875,29.35,46.375,17.025
exp_20260415_allhybrid1,101,0,baseline_low_friction,high_friction_high_assist,high_friction_high_assist__vs__baseline_low_friction,,5bbecce286fc88e7,bda352b4-e1ea-4a40-8d5e-a569baa1f92b,631ffbcb-2c9e-49da-8303-2767b9c05bd1,0.70632,0.665455,-0.040865,0.468421,0.568306,0.099885,1.0,1.0,0.0,20.87875,28.97921,8.10046,-27.3,-36.075,-8.775,29.35,38.075,8.725
exp_20260415_allhybrid1,101,0,baseline_low_friction,low_friction_high_assist,low_friction_high_assist__vs__baseline_low_friction,better_than_baseline,5bbecce286fc88e7,bda352b4-e1ea-4a40-8d5e-a569baa1f92b,3f80d0ba-34cc-4fc6-bcf7-6790c6b9d466,0.70632,0.799197,0.092877,0.468421,0.291457,-0.176964,1.0,1.0,0.0,20.87875,3.533587,-17.345163,-27.3,9.075,36.375,29.35,3.8,-25.55
