group_id,pair_index,pair_seed,world_order,world_name,exp_name,exp_id,seed,status,return_code,qc_config_match,config_fingerprint,run_meta_path,agent_count,stage_mode,stage_days,stage_count,decision_interval_minutes,decision_intervals_per_day,total_days,opportunities_per_agent,opportunities_total,started_at,finished_at,command
stage6_single_2day_20260404,0,101,0,baseline_low_friction,digital_friction_parallel_stage6_single_2day_20260404_p000_baseline_low_friction_20260404_121839,ae25306f-ad13-49c0-a9a3-5b25e474afde,101,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p000_w00.json,10,single,2,1,30,48,2,96,960,2026-04-04T12:18:39,2026-04-04T13:12:44,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,0,101,1,high_friction_low_assist,digital_friction_parallel_stage6_single_2day_20260404_p000_high_friction_low_assist_20260404_131244,80aa2408-f9f8-4873-8c6f-dab22bef6891,101,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p000_w01.json,10,single,2,1,30,48,2,96,960,2026-04-04T13:12:44,2026-04-04T14:01:59,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,0,101,2,high_friction_high_assist,digital_friction_parallel_stage6_single_2day_20260404_p000_high_friction_high_assist_20260404_140159,b7bbf0b1-6d79-439e-8ed8-bd66173f50cc,101,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p000_w02.json,10,single,2,1,30,48,2,96,960,2026-04-04T14:01:59,2026-04-04T14:54:25,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,0,101,3,low_friction_high_assist,digital_friction_parallel_stage6_single_2day_20260404_p000_low_friction_high_assist_20260404_145425,50f5a092-6b2e-4dbb-a3c6-941b6312a1f1,101,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p000_w03.json,10,single,2,1,30,48,2,96,960,2026-04-04T14:54:25,2026-04-04T15:48:56,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,1,102,0,baseline_low_friction,digital_friction_parallel_stage6_single_2day_20260404_p001_baseline_low_friction_20260404_154856,188a474d-490f-485c-8c4b-e9aff8260ab1,102,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p001_w00.json,10,single,2,1,30,48,2,96,960,2026-04-04T15:48:56,2026-04-04T16:44:14,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,1,102,1,high_friction_low_assist,digital_friction_parallel_stage6_single_2day_20260404_p001_high_friction_low_assist_20260404_164414,71106a4c-9c9b-4d11-90d2-d0ca04fa70d0,102,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p001_w01.json,10,single,2,1,30,48,2,96,960,2026-04-04T16:44:14,2026-04-04T17:36:00,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,1,102,2,high_friction_high_assist,digital_friction_parallel_stage6_single_2day_20260404_p001_high_friction_high_assist_20260404_173600,3a04ac35-7952-4e2b-b3fc-3d6f1c817e6d,102,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p001_w02.json,10,single,2,1,30,48,2,96,960,2026-04-04T17:36:00,2026-04-04T18:29:25,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
stage6_single_2day_20260404,1,102,3,low_friction_high_assist,digital_friction_parallel_stage6_single_2day_20260404_p001_low_friction_high_assist_20260404_182925,b885812d-48e2-4cbf-b570-d6dc398be0ef,102,ok,0,1,785e28b52aa98af5,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_stage6_single_2day_20260404_p001_w03.json,10,single,2,1,30,48,2,96,960,2026-04-04T18:29:25,2026-04-04T19:22:16,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
