group_id,pair_index,pair_seed,world_order,world_name,exp_name,exp_id,seed,status,return_code,qc_config_match,config_fingerprint,run_meta_path,agent_count,stage_mode,stage_days,stage_count,decision_interval_minutes,decision_intervals_per_day,total_days,opportunities_per_agent,opportunities_total,started_at,finished_at,command
20260321_021846,0,101,0,baseline_low_friction,digital_friction_parallel_20260321_021846_p000_baseline_low_friction_20260321_021846,d5c239b8-c28f-44a6-b422-f2db11be340f,101,failed,1,1,1f593e0a23dad976,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260321_021846_p000_w00.json,10,full,2,3,15,96,6,576,5760,2026-03-21T02:18:46,2026-03-21T02:19:00,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
20260321_021846,0,101,1,high_friction_low_assist,digital_friction_parallel_20260321_021846_p000_high_friction_low_assist_20260321_021900,fbec79b3-11ff-4d54-8208-7fdd95a591ab,101,failed,1,1,1f593e0a23dad976,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260321_021846_p000_w01.json,10,full,2,3,15,96,6,576,5760,2026-03-21T02:19:00,2026-03-21T02:19:12,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
20260321_021846,0,101,2,low_friction_high_assist,digital_friction_parallel_20260321_021846_p000_low_friction_high_assist_20260321_021912,1a3dde07-3938-416d-a94d-35b776cffa65,101,failed,1,1,1f593e0a23dad976,/Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/analysis/run_meta_20260321_021846_p000_w02.json,10,full,2,3,15,96,6,576,5760,2026-03-21T02:19:12,2026-03-21T02:19:24,/opt/anaconda3/envs/agent_env/bin/python /Users/pifazuoren/Downloads/AgentSociety-main/examples/digital_friction_mvp/main.py
